Error_Tag,Count
"ortho,altern,deriv",1
"lex,mode,disc",1
"subst,tense",1
"syntax,constr,transfer,wo",1
"ortho,space,extra,agrcase",1
"gov,prep,constr,agrstr",1
"aux,ref,lex,miss",1
"not-clear,deriv",1
"deriv,ortho,morph,infl,gov",1
"constr,lex,disc",1
"misspell,lex",1
"constr,aux,miss,syntax",1
"lex,disc,prep",1
"gov,space,prep",1
"ortho,num,ref",1
"agrpers,ortho,not-clear",1
"wo,lex,not-clear",1
"deriv,agrgender",1
"agrcase,ortho,subst",1
"constr,transfer,ref",1
"constr,agrstr,gov,ref",1
"gov,gender,ref",1
"deriv,ortho,morph",1
"lex,asp,refl",1
"wo,misspell",1
"ortho,constr,disc",1
"constr,neg,miss",1
"lex,miss,aux",1
"constr,ref,transfer",1
"syntax,transfer,conj,wo",1
"prep,miss,agrcase",1
"lex,constr,refl",1
"ref,extra,conj,miss",1
"lex,tense,agrstr",1
"syntax,constr,conj,extra",1
"disc,wo,disc,lex",1
"disc,wo,disc,constr",1
"ref,ortho,agrcase",1
"deriv,ortho,neg",1
"ortho,par,lex",1
"lex,miss,ref,constr,agrstr",1
"ref,lex,agrcase",1
"lex,ortho,gov",1
"gov,agrcase,agrstr",1
"agrstr,lex,miss",1
"lex,miss,gov,agrstr",1
"ortho,space,miss,gov",1
"lex,ref,gov",1
"brev,constr,agrgender",1
"conj,miss,gov,constr",1
"lex,miss,agrstr",1
"num,gov,lex",1
"gov,gender,agrgender",1
"constr,agrstr,ref",1
"lex,miss,wo",1
"lex,neg",1
"not-clear,lex,constr",1
"tense,syntax",1
"ref,miss,prep",1
"extra,mode",1
"lex,not-clear,constr",1
"transfer,translit",1
"miss,lex,ortho,extra",1
"punct,impers",1
"syntax,lex,gov",1
"subst,gov,ortho",1
"ref,agrgender,extra",1
"subst,agrpers",1
"ortho,space,extra,lex,agrstr,agrcase",1
"refl,tense,asp,prep,miss",1
"neg,agrcase",1
"ortho,lex,gov",1
"constr,agrstr,lex,miss",1
"wo,constr,agrstr,lex",1
"tense,agrstr",1
"ortho,agrpers,tense",1
"lex,ortho,deriv",1
"lex,not-clear,ortho",1
"agrnum,num,ortho",1
"agrnum,num,gov,agrcase",1
"refl,ortho,asp",1
"gov,agrcase,lex,not-clear",1
"ortho,hyphen,miss,gov",1
"ref,agrcase,ortho",1
"conj,miss,gender,ref,gov",1
"agrpers,agrgender,lex",1
"ref,extra,transfer",1
"ortho,miss,punct,miss",1
"impers,punct,extra",1
"space,gov",1
"prep,miss,gov,num",1
"refl,ref,extra",1
"gov,num,agrnum,agrcase",1
"constr,ref,gov,agrpers,impers",1
"neg,space,extra,ortho",1
"brev,ortho",1
"wo,constr,lex,agrstr",1
"lex,miss,constr,agrstr",1
"lex,gov,constr,agrstr",1
"ref,miss,constr,agrstr",1
"constr,ortho,gender",1
"constr,agrstr,lex",1
"lex,constr,agrpers,agrcase",1
"ortho,agrnum,agrgender",1
"gov,ref,lex,miss",1
"ortho,space,miss,lex",1
"ortho,space,extra,lex",1
"wo,lex,constr,agrstr",1
"gov,ortho,agrcase",1
"lex,par,agrcase",1
"gov,agrstr,agrcase",1
"asp,lex,ortho",1
"prep,miss,agrstr,gov",1
"refl,agrpers,agrstr",1
"conj,extra,agrstr",1
"asp,deriv,ortho",1
"agrpers,neg",1
"agrpers,ortho,agrstr",1
"ortho,extra,space",1
"wo,constr,lex,miss",1
"constr,lex,gov,agrstr",1
"gov,hyphen,miss,ortho",1
"constr,ortho,lex",1
"neg,space,extra",1
"lex,extra,conj,miss",1
"wo,asp",1
"ref,lex,ortho",1
"misspell,gov",1
"ortho,prep,syntax",1
"miss,tense,syntax",1
"hyphen,miss,syntax",1
"gender,gov,miss",1
"ortho,gov,subst,infl",1
"extra,subst,misspell,ortho",1
"infl,ortho,subst",1
"ortho,gov,subst",1
"miss,ortho,gov",1
"ortho,subst,refl,miss",1
"morph,syntax",1
"gender,ortho,miss",1
"constr,extra,gov",1
"ortho,agrnum,subst",1
"miss,gov,prep",1
"extra,prep,transfer",1
"subst,morph",1
"agrgender,ortho,infl",1
"ortho,subst,agrgender,impers,constr",1
"tense,syntax,constr",1
"refl,miss,ortho",1
"refl,miss,ortho,subst,num",1
"lex,gov,ortho",1
"gov,altern,morph",1
"extra,gov",1
"lex,ortho,miss",1
"ortho,subst,agrnum",1
"lex,disc,constr",1
"agrnum,subst",1
"not-clear,ortho",1
"subst,agrnum",1
"prep,miss,misspell",1
"extra,tense",1
"space,prep",1
"miss,agrcase,agrnum,agrgender",1
"constr,agrcase,subst",1
"infl,num,constr",1
"agrgender,gender",1
"lex,gov,miss",1
"aux,agrgender,miss",1
"agrgender,miss",1
"agrnum,constr",1
"ortho,misspell,infl",1
"constr,infl,ortho",1
"gender,infl,ortho",1
"miss,ortho,infl",1
"ortho,infl,miss",1
"constr,miss,subst",1
"infl,subst,ortho",1
"hyphen,gov,miss",1
"gov,hyphen",1
"gov,extra,transfer",1
"constr,gender,punct,transfer",1
"asp,lex,transfer",1
"gov,miss,prep,transfer",1
"agrgender,lex,transfer",1
"ortho,miss,aux,tense",1
"gov,agrnum,punct",1
"miss,ref,punct,transfer",1
"lex,conj,constr",1
"ortho,miss,lex,constr,not-clear,transfer",1
"miss,constr,transfer",1
"tense,lex,ref,extra",1
"punct,agrcase",1
"punct,gov",1
"constr,prep,gov",1
"com,constr",1
"translit,ortho,gov",1
"punct,syntax",1
"miss,syntax,punct",1
"wo,miss,syntax",1
"wo,extra,transfer",1
"punct,lex,transfer",1
"miss,lex,not-clear",1
"constr,miss,space",1
"extra,ortho,not-clear",1
"miss,altern",1
"miss,agrcase,punct",1
"extra,punct,agrpers,tense",1
"asp,deriv",1
"miss,infl,agrnum",1
"punct,asp",1
"constr,punct,gov",1
"tense,agrpers,refl",1
"agrpers,lex",1
"conj,mode",1
"deriv,syntax",1
"punct,miss,lex",1
"wo,miss,ref",1
"ortho,misspell,punct",1
"ortho,gov,transfer",1
"ortho,gov,punct",1
"miss,com",1
"punct,gov,ortho",1
"passive,agrgender,agrnum,constr",1
"ref,refl",1
"tense,neg",1
"lex,agrstr,constr",1
"ortho,not-clear,space,miss",1
"prep,conj,miss",1
"lex,idiom,not-clear",1
"ortho,miss,hyphen",1
"lex,syntax,wo,constr,agrstr",1
"not-clear,agrpers",1
"gender,tense",1
"extra,prep,ref",1
"graph,cs",1
"prep,misspell",1
"wo,brev,agrnum",1
"ref,miss,not-clear",1
"space,extra,infl",1
"ortho,space,extra,prep",1
"conj,extra,constr",1
"agrgender,idiom",1
"ortho,space,miss,neg",1
"neg,space,miss,ortho",1
"miss,constr,asp",1
"miss,prep,hyphen",1
"ortho,subst,miss",1
"transfer,ref",1
"constr,conj,agrcase,prep,miss",1
"lex,agrstr,constr,prep,miss",1
"ref,gov,lex",1
"agrstr,agrgender",1
"agrpers,agrstr",1
"agrstr,agrcase,ref,agrgender",1
"num,ortho,gov",1
"agrgender,refl,ortho",1
"prep,space,extra",1
"gov,lex,ortho",1
"agrnum,ref",1
"agrstr,agrpers,tense",1
"agrcase,agrstr,agrnum",1
"constr,lex,agrstr,agrpers,miss",1
"mode,miss",1
"gov,lex,prep",1
"lex,ortho,prep,miss",1
"ref,lex,extra",1
"miss,agrstr,constr",1
"tense,lex,gov",1
"disc,lex,wo,constr",1
"lex,miss,agrcase",1
"lex,idiom,agrcase",1
"agrstr,lex,constr",1
"wo,idiom",1
"agrpers,tense,constr",1
"syntax,subst,conj",1
"constr,agrcase,lex",1
"wo,lex,subst,deriv,constr",1
"ortho,num,punct",1
"transfer,refl",1
"miss,prep,lex",1
"morph,subst",1
"misspell,punct",1
"constr,prep,ref,miss",1
"agrcase,miss,prep",1
"lex,agrnum,subst",1
"agrnum,agrgender,agrcase",1
"ortho,miss,agrnum,agrgender,agrcase",1
"tense,agrnum,agrpers",1
"tense,ortho,agrnum",1
"constr,gov,transp",1
"gov,num,ref,miss",1
"prep,ortho,space,extra",1
"syntax,aux,infl,deriv,asp,transp",1
"deriv,punct,miss",1
"ortho,punct,miss",1
"ortho,lex,brev",1
"conj,miss,agrstr,constr",1
"ortho,gov,deriv",1
"lex,prep,extra",1
"infl,agrpers",1
"agrpers,ortho",1
"lex,aux,ortho",1
"miss,translit",1
"miss,subst",1
"infl,num,transfer",1
"morph,gov,transfer",1
